,Sample,cluster,dataset,cyp51a,TR34,Itraconazole,Posaconazole,Voriconazole,overall_resistant
144,410-L-2-21-2,6,Environment,wt,wt,susceptible,susceptible,susceptible,susceptible
145,43-C-1-69L-1,6,Environment,,,susceptible,susceptible,susceptible,susceptible
146,439-A-3-46s-1,6,Environment,,,resistant,resistant,resistant,resistant
147,442-D-2-17L-1,6,Environment,,,susceptible,susceptible,susceptible,susceptible
148,47-C-1-72L-1,6,Environment,,,susceptible,susceptible,susceptible,susceptible
149,480-E-1-21-2,6,Environment,,,susceptible,susceptible,susceptible,susceptible
150,52-C-1-64L-2,6,Environment,,,susceptible,susceptible,susceptible,susceptible
151,699-A-2-49L-2,6,Environment,,,susceptible,susceptible,susceptible,susceptible
152,72-C-1-67s-1,6,Environment,mutation,mutation,resistant,resistant,resistant,resistant
153,860-F-1-42-2,6,Environment,,,susceptible,susceptible,susceptible,susceptible
154,9-D-2-15L-2,6,Environment,,,susceptible,susceptible,susceptible,susceptible
155,92-D-2-43s-1,6,Environment,,,susceptible,susceptible,susceptible,susceptible
156,939-E-1-75s-2,6,Environment,,,susceptible,susceptible,susceptible,susceptible
157,C1-NRZ-2014-065,6,Hospitals,mutation,wt,resistant,susceptible,resistant,resistant
158,C20-NRZ-2017-282,6,Hospitals,,,susceptible,susceptible,susceptible,susceptible
159,C25-NRZ-2017-381,6,Hospitals,,,resistant,susceptible,susceptible,resistant
160,C27-NRZ-2017-508,6,Hospitals,,,susceptible,susceptible,susceptible,susceptible
161,C35-NRZ-2018-146,6,Hospitals,,,susceptible,susceptible,susceptible,susceptible
162,C37-NRZ-2018-272,6,Hospitals,,,susceptible,susceptible,susceptible,susceptible
163,C40-NRZ-2018-290,6,Hospitals,mutation,wt,resistant,resistant,susceptible,resistant
164,C47-NRZ-2018-529,6,Hospitals,,,resistant,susceptible,resistant,resistant
165,C4-NRZ-2016-063,6,Hospitals,,,susceptible,susceptible,susceptible,susceptible
166,C7-NRZ-2016-121,6,Hospitals,mutation,mutation,resistant,resistant,resistant,resistant
167,100-C-1-80s-1,7,Environment,,,susceptible,susceptible,susceptible,susceptible
168,111-C-1-76s-1,7,Environment,,,susceptible,susceptible,susceptible,susceptible
