Metabolite,AB01-C35-NRZ-2018-146,AB01-C7-NRZ-2016-121,AB01-C48-NRZ-2018-539,AB01-C15-NRZ-2017-096,AB01-C16-NRZ-2017-115,AB01-C32-NRZ-2018-097,AB01-C9-NRZ-2016-342,AB01-C19-NRZ-2017-214,AB01-C50-NRZ-2018-649,AB01-C10-NRZ-2017-039,AB01-C41-NRZ-2018-300,AB01-C43-NRZ-2018-313,AB01-C36-NRZ-2018-236,AB01-C8-NRZ-2016-141,AB01-C27-NRZ-2017-508,AB01-C22-NRZ-2017-322,AB01-C45-NRZ-2018-326,AB01-C47-NRZ-2018-529,AB01-C49-NRZ-2018-646,AB01-C33-NRZ-2017-101,AB01-C13-NRZ-2017-069,AB01-C28-NRZ-2017-534,AB01-C31-NRZ-2018-043,AB01-C30-NRZ-2017-546,AB01-C18-NRZ-2017-195,AB01-C24-NRZ-2017-362,AB01-C42-NRZ-2018-307,AB01-C20-NRZ-2017-282,AB01-C39-NRZ-2018-286,AB01-C23-NRZ-2017-346,AB01-C34-NRZ-2018-123,AB01-C40-NRZ-2018-290,AB01-C2-NRZ-2015-218,AB01-C37-NRZ-2018-272,AB01-C5-NRZ-2016-071,AB01-C14-NRZ-2017-076,AB01-C26-NRZ-2017-434,AB01-C25-NRZ-2017-381,AB01-C46-NRZ-2018-396,AB01-C3-NRZ-2016-032,AB01-C1-NRZ-2014-065,AB01-C38-NRZ-2018-281,AB01-C29-NRZ-2017-537,AB01-C6-NRZ-2016-108,AB01-C11-NRZ-2017-040,AB01-C17-NRZ-2017-134,AB01-C44-NRZ-2017-339,AB01-C4-NRZ-2016-063,AB01-C21-NRZ-2017-283
R3021,11.22588271,11.37167723,10.90264177,11.67121782,11.82160707,11.69328526,11.37167723,11.48067361,11.49923608,11.67844487,11.59488921,11.47468024,11.7251323,11.38145081,10.95913414,11.67844487,12.08950886,9.012899131,11.7581323,11.67369598,11.59749076,11.7956233,11.69328526,10.97779445,12.02140073,11.51182461,11.7581323,11.64921864,11.69982881,11.59749076,11.46206824,11.22588271,11.43899017,11.62261213,11.80088175,11.56056788,11.27356437,10.49202362,11.69328526,11.27703483,11.7956233,11.7956233,11.49530375,11.51032635,11.72567692,10.8955946,11.02150395,11.12287334,11.57135794
R3024,,-5.586618091,-5.221619449,-6.149615846,-6.608508888,-6.453393781,-5.585520228,-6.735773826,-6.040781367,-5.385827847,-6.564317612,-6.811913299,-6.58240389,-5.621902252,,-5.384793571,-6.316878729,-3.359257149,-6.594480194,-5.633198815,-6.498013437,-6.521760612,-6.453393781,-5.888127209,-6.199651827,,-6.583576959,,-6.660248083,-6.502184046,,,-5.568620297,-6.051719333,-3.41266405,-6.542563084,-5.553781496,-6.105661595,-6.41871989,-5.550382786,-5.456248766,-6.571410882,,-6.151416786,-6.106037168,,-5.376529514,,-5.536520697
R3026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.33E-15,0,0,-7.33E-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.31E-15,0,0,0,0,0
R3027,-19.35728736,-19.36188497,-21.36481056,-19.45943395,-19.99393133,-19.76899783,-19.37327293,-20.59917899,-19.35753504,-18.98828613,-20.01076272,-20.56175903,-20.01262644,-19.25526105,-21.27963754,-18.97565274,-19.49708835,-13.31940541,-20.05755569,-15.43674365,-19.91146718,-19.96678255,-19.77607264,-20.23628194,-19.30372873,-19.87861346,-20.06900344,-15.2388059,-20.17921892,-19.91343412,-19.21745813,-19.30673094,-15.34373607,-19.1978532,-12.61449191,-20.02502239,-19.40540466,-20.16709134,-19.76538833,-19.40226585,-15.30657345,-19.96678255,-18.99238996,-19.34110227,-19.39117061,-21.67167504,-21.6868327,-19.41084448,-15.30674639
R3029,-63.66908405,-63.46620729,-64.11888201,-63.04938898,-62.84011852,-63.01868158,-63.46620729,-63.31453607,-63.28870592,-63.03933236,-63.15560216,-63.322876,-62.9743656,-63.4526071,-64.04027145,-63.03933236,-62.46732639,-66.74850675,-62.92844528,-63.04594055,-63.15198204,-62.87627559,-63.01868158,-64.01430516,-62.56210058,-63.27118866,-62.92844528,-63.0800014,-63.00957605,-63.15198204,-63.34042591,-63.66908405,-63.37253963,-63.11702503,-62.86895833,-63.20336117,-63.60273381,-64.69026756,-63.01868158,-63.59790458,-62.87627559,-62.87627559,-63.29417785,-63.27327353,-62.97360776,-64.12868833,-63.95348227,-63.8124242,-63.18834653
R3031,0,0,129.213675,0,0,0,0,0,0,0,0,0,0,0,141.9011669,0,0,88.22309321,0,0,0,0,0,0,0,0,0,1.510440532,0,0,0,0,0,0,0,0,0,0,0,0,1.605117422,0,0,0,0,136.2075942,137.9993056,0,0
R3032,-33.83647487,-33.67122613,-38.20739648,-36.77133251,-39.42814329,-38.68684674,-33.66787361,-39.1508841,-36.50166675,-33.80094866,-38.83780817,-39.35744719,-39.66733635,-33.77353384,-38.6121244,-33.78823708,-37.4374872,-23.41891767,-39.5733613,-60.04281601,-38.63319807,-38.74279654,-38.70129425,-34.64026759,-37.47124816,-39.46578897,-38.90013829,-50.4735712,-39.23048658,-39.32515387,-36.27495359,-34.16826171,-59.80522398,-36.32972171,-30.42619527,-38.7607722,-33.76790135,-37.88286862,-38.00507964,-33.75643928,-50.58453277,-39.40705241,-33.91872551,-36.87744353,-36.55288555,-38.74310142,-38.7831654,-33.86944927,-59.43841652
R3034,-105.9325901,-106.1493689,-127.3352103,-110.1379607,-113.2380573,-113.3663486,-106.1836255,-121.6461168,-104.1101484,-103.2851153,-111.5787375,-121.8943051,-112.6518132,-112.1190726,-127.9964832,-103.4853683,-117.1152151,-167.1016858,-117.8316422,-116.0816865,-112.5895209,-116.0708045,-114.1293864,-120.6191799,-112.1411445,-114.6628193,-117.8409696,-112.5536816,-114.675051,-112.3029552,-104.344057,-106.7194584,-115.3677589,-105.0845536,-92.25056142,-114.1417044,-105.9092195,-112.3139314,-113.7318634,-112.1162702,-112.2799371,-115.2895991,-104.4271137,-105.2687076,-107.3139787,-127.8615413,-127.5598804,-104.9486918,-115.0366381
R3042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R3043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
