truth,pred,fold_id
clinical,0.359447876,3
environmental,0.791491106,3
environmental,0.737223672,3
clinical,0.438712964,3
environmental,0.829560131,3
environmental,0.647365545,3
environmental,0.600282243,3
clinical,0.455005916,3
environmental,0.8327181,3
environmental,0.692434367,3
environmental,0.522697027,3
environmental,0.890385986,3
environmental,0.454355977,3
clinical,0.476863326,3
clinical,0.701099393,3
environmental,0.685483208,3
clinical,0.488612781,3
environmental,0.878805204,3
environmental,0.514286918,3
environmental,0.422343172,3
clinical,0.543070791,3
environmental,0.558081817,3
environmental,0.725321539,3
environmental,0.89762711,3
environmental,0.837686375,3
environmental,0.671887282,3
environmental,0.89869593,3
environmental,0.856136208,3
clinical,0.25607665,3
environmental,0.680187218,3
clinical,0.429707098,3
environmental,0.778052506,3
clinical,0.653117609,3
environmental,0.809677467,3
environmental,0.626255531,3
environmental,0.303595351,3
environmental,0.513259716,3
clinical,0.184906547,3
environmental,0.776430248,3
clinical,0.600943919,3
environmental,0.262161878,3
environmental,0.602937624,3
clinical,0.799708146,3
environmental,0.305029699,3
environmental,0.750024655,3
clinical,0.730844978,3
environmental,0.794182638,3
environmental,0.638472526,3
environmental,0.936908746,3
environmental,0.735370022,3
environmental,0.761640684,3
environmental,0.305313072,3
environmental,0.699823614,3
environmental,0.909122951,3
environmental,0.889736662,3
environmental,0.708801056,3
environmental,0.851922079,3
environmental,0.759791236,3
environmental,0.804795135,3
environmental,0.667035688,3
environmental,0.734867858,3
environmental,0.666828867,3
environmental,0.785461322,3
environmental,0.6010203,3
environmental,0.676807755,3
clinical,0.3322025,3
environmental,0.702768145,3
environmental,0.488813788,3
environmental,0.549078853,3
environmental,0.619829114,3
environmental,0.504200631,3
environmental,0.699665369,3
environmental,0.296507724,3
environmental,0.452744748,3
environmental,0.622549701,3
environmental,0.670083957,3
environmental,0.721643251,3
environmental,0.428791314,3
clinical,0.506050086,3
clinical,0.393289755,3
environmental,0.590922752,3
environmental,0.655544395,3
clinical,0.569027051,3
environmental,0.594646897,3
environmental,0.647112116,3
environmental,0.507997488,3
environmental,0.717887013,3
environmental,0.53045091,3
environmental,0.716683536,3
environmental,0.574824219,3
environmental,0.503589887,3
environmental,0.818104074,3
environmental,0.391354952,3
environmental,0.698375091,3
environmental,0.71931405,3
environmental,0.644105662,3
environmental,0.702402724,3
environmental,0.553334793,3
environmental,0.69551991,3
environmental,0.282919206,3
environmental,0.566927482,3
environmental,0.539374518,3
environmental,0.745938,3
environmental,0.546422004,3
environmental,0.465581759,3
environmental,0.7576429,3
environmental,0.52654444,3
environmental,0.468993072,3
clinical,0.258915053,3
environmental,0.58236889,3
environmental,0.513198494,3
environmental,0.372127009,3
environmental,0.845040162,3
environmental,0.466074643,3
environmental,0.714898583,3
environmental,0.753747502,3
environmental,0.909018708,3
environmental,0.762183889,3
environmental,0.690841779,3
clinical,0.357817611,3
environmental,0.891552137,3
clinical,0.611908648,3
environmental,0.415066995,3
environmental,0.440980267,3
environmental,0.53990256,3
environmental,0.718539619,3
clinical,0.525177312,3
environmental,0.463475631,3
environmental,0.433972921,3
environmental,0.640838358,3
environmental,0.769611091,3
environmental,0.832649123,3
environmental,0.481827689,3
environmental,0.781081598,3
environmental,0.733667545,3
clinical,0.622052901,3
environmental,0.429515765,3
clinical,0.579945623,3
environmental,0.566254829,3
environmental,0.895171369,3
environmental,0.87331628,3
environmental,0.538717419,3
clinical,0.705328714,3
clinical,0.484963027,3
clinical,0.566567472,3
environmental,0.688666415,3
environmental,0.364712583,3
environmental,0.634124788,3
environmental,0.559177486,3
environmental,0.319355807,3
environmental,0.780742115,3
environmental,0.601118179,3
environmental,0.808619835,3
environmental,0.378274274,3
environmental,0.611148797,3
environmental,0.820887669,3
environmental,0.632844892,3
environmental,0.665401899,3
clinical,0.275190223,3
environmental,0.637649284,3
environmental,0.552279962,3
environmental,0.794502264,3
environmental,0.731034762,3
clinical,0.528562053,3
clinical,0.361748339,3
environmental,0.471638668,3
